"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2012030221","20122013","P",2013-05-16,"3","6",2,3,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030222","20122013","P",2013-05-19,"3","6",2,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030224","20122013","P",2013-05-23,"6","3",3,4,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030225","20122013","P",2013-05-25,"3","6",1,3,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030311","20122013","P",2013-06-02,"6","5",3,0,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030312","20122013","P",2013-06-04,"6","5",6,1,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030313","20122013","P",2013-06-06,"5","6",1,2,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030314","20122013","P",2013-06-08,"5","6",0,1,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030231","20122013","P",2013-05-16,"17","16",1,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030232","20122013","P",2013-05-18,"17","16",4,1,"away win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030233","20122013","P",2013-05-20,"16","17",1,3,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2012030234","20122013","P",2013-05-24,"16","17",0,2,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2012030235","20122013","P",2013-05-26,"17","16",1,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2012030236","20122013","P",2013-05-28,"16","17",4,3,"away win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
